H_en	Concepticon_ID	Concepticon_Gloss
carpenter	1042	CARPENTER
cannon, catapult	3202	CANNON
to fondle, pet, caress	3780	PET
stream, current	2935	CURRENT (STREAM)
stream, current	2935	CURRENT (STREAM)
false, imitation	3069	FALSE
pied (of an animals coat)		
pied (of an animals coat)		
pied (of an animals coat)		
pied (of an animals coat)		
apple	1320	APPLE
barrel (wooden container andstandard quantity)	2548	BARREL
barrel (wooden container andstandard quantity)	2548	BARREL
to nurse, take care of	2472	SUCKLE (BREASTFEED, NURSE)
to decay, putrify, turn stale	2907	ROT
small, tiny	1246	SMALL
to mow	190	MOW
to mow	190	MOW
to decay, putrefy, go bad (of food, water)	2907	ROT
to harm	44	INJURE
a type of lasso		
ditch, canal	2002	DITCH
barley, Hordeum	932	BARLEY
barrow	2565	CASTRATED BOAR
gauntry, gantry (for supporting barrels)		
charm		
soggy place, moor, swamp, marsh	1145	SWAMP
hatchet, axe	677	AXE
pagan idol, stone or wooden pillar, vertical beam of different wooden instruments, strong, corpulent person	857	STONE
governor of Croatia, governor of the southern marches		
to regret, to be sorry	1875	REGRET
hairy, bushy (of dogs); a big hairy dog (as noun)		
label, tag		
cattle, livestock	1153	CATTLE
velvet		
to fuck		
courageous, brave, valiant	3	BRAVE
to estimate, to esteem, to appreciate		
frog	503	FROG
hobble, shackle, leg-iron		
hobble, shackle, leg-iron		
stamp, bond, mark	1720	SIGN
wage, rent		
name of a people		
grain or small globule of preciousmetal	605	GRAIN
a bird of prey		
Pecheneg, name of a tribe		
letter (of the alphabet)	1612	LETTER
pocket knife	3742	POCKETKNIFE
pocket knife	3742	POCKETKNIFE
pocket knife	3742	POCKETKNIFE
bull	1008	BULL
shackles		
judge	861	JUDGE
to be forgiven, bocsánat		
to forgive	1528	FORGIVE
buckler with handle, handle of different arms		
knot, bend	760	KNOT
stack of hay		
tassel, fringe, tuft, node	2989	FRINGE
burdock, Arctium sp.		
ankle	803	ANKLE
ankle boot		
ankle boot		
anthill	1873	ANTHILL
wine	1524	WINE
to cover, to overturn	761	COVER
cover	761	COVER
calf	1989	CALF
pepper	1385	PEPPER
pea, Pisum sativum; bean	832	BEAN
badger, Meles meles	3717	BADGER
witch, sorceress	824	WITCH
to annoy	2892	MAKE ANGRY (ANNOY)
revenge	495	REVENGE
stick, cane	1295	STICK
stick, cane	1295	STICK
stick, cane	1295	STICK
stick, cane	1295	STICK
a kind of beer, alcoholic beverage	404	ALCOHOL (FERMENTED DRINK)
rich; abundant, roomy	712	RICH
horsefly, gadfly	3262	HORSEFLY
fast(ing)	1631	FAST
wise	698	WISE
cradle	2946	CRADLE
bison	3142	BISON
prison, jail	1281	PRISON
Ismaelite, name of an ethnic group in Medieval Hungary		
sad, bad-tempered	699	SAD
farewell, indulgence, dedication festival, annual parish-feast	3554	GOODBYE
ox; also ox, goat, ram without or with small or unusual horns;stupid	1502	GOAT
Volga Bulgar		
steam, vapour, fumes; heat	1193	STEAM
wheat, Triticum	1077	WHEAT
club, mace, reed-mace	1763	CLUB
beech	1950	BEECH
sin	2971	SIN
(blunt) end of something, a rod with an end cut, obtuse end of a field-strip, the shorter side or end of a piece of furniture, foot of the hill		
magical		
a kind of willow, Salix elægnos		
trap; snare (for catching birds); bird cage	1075	TRAP (PITFALL)
trap; snare (for catching birds); bird cage	1075	TRAP (PITFALL)
trap; snare (for catching birds); bird cage	1075	TRAP (PITFALL)
trap; snare (for catching birds); bird cage	1075	TRAP (PITFALL)
a kind of willow, used for baskets and in viticulture, Salix purpurea		
a kind of willow		
a kind of wolfs milk, Easter flower, Euphorbia		
a kind of wolfs milk, Easter flower, Euphorbia		
a fish, Leuciscus souffia agassizi	227	FISH
only, just	1580	ONLY
pick-axe; mace; a small axe; war hammer		
nettle, Urtica	33	NETTLE
nettle, Urtica	33	NETTLE
nettle, Urtica	33	NETTLE
thicket, brushwood, dry foliage, grove, meadow	2819	GRASSLAND
thicket, brushwood; dry foliage, grove, meadow	2819	GRASSLAND
(silver) cup, wooden ladle, earthenware bowl	476	CUP
fighting, troop, army group, battle, quarrel, hubbub, flock	1848	QUARREL
fighting, troop, army group, battle, quarrel, hubbub, flock	1848	QUARREL
to add, to join; to buckle up something	1743	JOIN
clasp		
measle, smallpox, pocks; skin eruption; decorative embroidery	1054	SMALLPOX
measle, smallpox, pocks; skin eruption; decorative embroidery	1054	SMALLPOX
to bind (something)	1917	TIE
impurities, tow, chaff	2363	CHAFF (HUSK)
impurities, tow, chaff	2363	CHAFF (HUSK)
impurities, tow, chaff	2363	CHAFF (HUSK)
impurities, tow, chaff	2363	CHAFF (HUSK)
snail, Helix; snail-shell, pulley, vertebra	1543	SNAIL
a wine of low quality, a fruit wine		
a wine of low quality, a fruit wine		
secretion, mucus discharged from the eyes		
squint-eyed, blind in one eye, onearmed, one-legged	87	SQUINT-EYED
a carpenters axe with a long helve		
stallion	936	STALLION
stallion	936	STALLION
stallion	936	STALLION
sexual organ of large male animals, of a bull; a whip made from it		
feast, christening feast (at baptism)		
to become smaller, remain small, to sway, to totter, tosprain	573	SWAY
stubborn	3634	STUBBORN
field-guard; herald; Turkish envoy		
rough, coarse; ugly; wild, unbridled	1548	UGLY
to wind, to turn, to distrort, misinterpret, to spin a yarn	1588	TURN
bobbin, spindle	277	SPINDLE
excellent; worthless		
a short fur coat		
grist, groats, soft hail		
grist, groats, soft hail		
noon, south	12	MIDDAY
noon, south	12	MIDDAY
nut; walnut, Juglans	2042	WALNUT
nut; walnut, Juglans	2042	WALNUT
pig, Sus domestica	1337	PIG
to lean, topple over, stream down	3619	LEAN
to lean, topple over, stream down	3619	LEAN
to squeeze, to thrust into	1414	SQUEEZE
to squeeze, to thrust into	1414	SQUEEZE
church (building and organisation)	1349	CHURCH
church (building and organisation)	1349	CHURCH
wedge		
plough	2154	PLOUGH (INSTRUMENT)
to allow, permit, concede; yield, give way	3238	ALLOW
to propitiate		
community work in agriculture, a kind of corvée		
to arrive, to reach, get to	1387	ARRIVE
merit		
morals, morality		
to tire, lose vitality, slacken, relax	168	REST
strength, power	2526	POWER
oath	1712	OATH
oath	1712	OATH
reason, mind	1562	MIND
river, name of a river	666	RIVER
river, name of a river	666	RIVER
weed	3288	WEED
pelican, Pelicanus	472	PELICAN
pelican, Pelicanus	472	PELICAN
polecat, Putorius foetidus		
polecat, Putorius foetidus		
matchmaker		
gleaner mouse, Mus spicilegus		
to abuse, calumniate	1953	ABUSE
drag-net, a kind of fishing net		
suspicion, mistrust	3197	SUSPICION
wool	964	WOOL
cotton	1850	COTTON
to increase, to put on weight, to grow stronger	1041	INCREASE
to increase, to put on weight, to grow stronger	1041	INCREASE
poor, frail, feeble	1674	POOR
to produce, build, fabricate	2886	PRODUCE
mourning, bereavement	3673	MOURNING
bulrush, Typha latifolia / angustifolia; matting made of bulrushes		
weak, feeble	1601	WEAK
rein		
borderland, hedge		
lawn,grass-(plot)	606	GRASS
child	2099	CHILD
child	2099	CHILD
candle	1273	CANDLE
hornbeam, Carpinus betulus		
murder, killer	845	MURDER
weed	3288	WEED
stomach	819	STOMACH
to confess (sins)		
to confess (sins)		
cudweed, Gnaphalium; Edelweiss		
pearl	3325	PEARL
to torture, to make suffer	1952	TORTURE
to conquer (somebody, something), triumph (over somebody, something), gain victory	3849	TRIUMPH
to catch fire, be kindled, to be ignited		
to knead, pug	274	KNEAD
to assemble, gather	7	GATHER
to collect,gather something		
to hate	1607	HATE
fruit	1507	FRUIT
hawthorn, a plant similar to the whitethorn, or elder	1168	HAWTHORN
a kind of tree similar to the maple or cornel, Acer tataricum, Cornussanguinea		
ring	1374	RING
thimble		
boat, ship	1844	BOAT
bell	2246	BELL
hawk	307	HAWK
sand	671	SAND
noose, loop, snare	2604	NOOSE
time, weather	892	TIME
word, biblical word, verb	1599	WORD
yes; affirmative particle, very	1268	YES
to be frightened, to take fright		
to be frightened, to take fright		
twin	1005	TWINS
proper behaviour		
to suit something, to be proper, to fit into		
to adore, worship	257	WORSHIP
shirt	1622	SHIRT
to write	1672	WRITE
buttermilk		
to glow, be hot	1286	HOT
name of an ethnic group of Iranian origin in Hungary		
do-less, do-little		
bulrush, club-rush, different plants like Schoenoplectus (Cyperaceæ)		
guide, pilot; conductor, ticket inspector	43	LEAD (GUIDE)
guide, pilot; conductor, ticket inspector	43	LEAD (GUIDE)
