ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE
335	H	(blunt) end of something, a rod with an end cut, obtuse end of a field-strip, the shorter side or end of a piece of furniture, foot of the hill	bütü	bütü	b y t y	
336	EAH	(blunt) end of something, a rod with an end cut, obtuse end of a field-strip, the shorter side or end of a piece of furniture, foot of the hill	bütüγ	bütüγ	b y t y ɣ	
337	WOT	(blunt) end of something, a rod with an end cut, obtuse end of a field-strip, the shorter side or end of a piece of furniture, foot of the hill	bütüγ	bütüγ	b y t y ɣ	
400	H	(silver) cup, wooden ladle, earthenware bowl	čånåk	čånåk	t͡ʃ ɒ n ɒ k	
401	EAH	(silver) cup, wooden ladle, earthenware bowl	čanak	čanak	t͡ʃ a n a k	
402	WOT	(silver) cup, wooden ladle, earthenware bowl	čanak	čanak	t͡ʃ a n a k	
1203	H	Armenian	örmēń	örmēń	ø r m eː ɲ	
1204	EAH	Armenian	ermeni	ermeni	ɛ r m ɛ n i	
1205	WOT	Armenian	ärmäni	ärmäni	ɛ r m ɛ n i	
151	H	Pecheneg, name of a tribe	bešeńȫ	bešeńȫ	b ɛ ʃ ɛ ɲ øː	
152	OH	Pecheneg, name of a tribe	bešeneü̯	bešeneü̯	b ɛ ʃ ɛ n ɛ ɥ	
153	EAH	Pecheneg, name of a tribe	bešeneγ	bešeneγ	b ɛ ʃ ɛ n ɛ ɣ	
154	WOT	Pecheneg, name of a tribe	bäčänäg	bäčänäg	b ɛ t͡ʃ ɛ n ɛ ɡ	
1158	H	Russian	oros	oros	o r o s	
1159	EAH	Russian	urus	urus	u r u s	
1160	WOT	Russian	urus	urus	u r u s	
1644	H	Slovak	tōt	tōt	t oː t	
1645	OH	Slovak	tat	tat	t a t	
1646	EAH	Slovak	tāt	tāt	t aː t	
1647	WOT	Slovak	tāt	tāt	t aː t	
1549	H	Tatar	tåtār	tåtār	t ɒ t aː r	
1550	EAH	Tatar	tatar	tatar	t a t a r	
1551	WOT	Tatar	tatar	tatar	t a t a r	
1665	H	Turk, Turkish, Turkic, Ottoman	török	török	t ø r ø k	
1666	OH	Turk, Turkish, Turkic, Ottoman	türük	türük	t y r y k	
1667	LAH	Turk, Turkish, Turkic, Ottoman	türk	türk	t y r k	
1668	EAH	Turk, Turkish, Turkic, Ottoman	türkü	türkü	t y r k y	
1669	WOT	Turk, Turkish, Turkic, Ottoman	türkü	türkü	t y r k y	
316	H	Volga Bulgar	bulår	bulår	b u l ɒ r	
317	EAH	Volga Bulgar	bular	bular	b u l a r	
318	WOT	Volga Bulgar	bular	bular	b u l a r	
148	H	a bird of prey	beše	beše	b ɛ ʃ ɛ	
149	EAH	a bird of prey	beše	beše	b ɛ ʃ ɛ	
150	WOT	a bird of prey	bäšä	bäšä	b ɛ ʃ ɛ	
443	H	a carpenters axe with a long helve	čomåk	čomåk	t͡ʃ o m ɒ k	
444	EAH	a carpenters axe with a long helve	čomak	čomak	t͡ʃ o m a k	
445	WOT	a carpenters axe with a long helve	čomak	čomak	t͡ʃ o m a k	
1108	H	a fish living at the bottom of the river, gudgeon, Gobio fluviatilis	küllȫ	küllȫ	k y l l øː	
1109	OH	a fish living at the bottom of the river, gudgeon, Gobio fluviatilis	külliγ	külliγ	k y l l i ɣ	
1110	LAH	a fish living at the bottom of the river, gudgeon, Gobio fluviatilis	kölliγ	kölliγ	k ø l l i ɣ	
1111	EAH	a fish living at the bottom of the river, gudgeon, Gobio fluviatilis	köligeliγ	köligeliγ	k ø l i ɡ ɛ l i ɣ	
1112	WOT	a fish living at the bottom of the river, gudgeon, Gobio fluviatilis	köligäliγ	köligäliγ	k ø l i ɡ ɛ l i ɣ	
376	H	a fish, Leuciscus souffia agassizi	čåbåk	čåbåk	t͡ʃ ɒ b ɒ k	
377	EAH	a fish, Leuciscus souffia agassizi	čabak	čabak	t͡ʃ a b a k	
378	WOT	a fish, Leuciscus souffia agassizi	čabak	čabak	t͡ʃ a b a k	
889	H	a fishing water bird with black feathers, cormorant,Phalacrocorax carbo	kārōkåtonå	kārōkåtonå	k aː r oː k ɒ t o n ɒ	
890	OH	a fishing water bird with black feathers, cormorant,Phalacrocorax carbo	kara katona	karakatona	k a r a k a t o n a	
891	EAH	a fishing water bird with black feathers, cormorant,Phalacrocorax carbo	kara kotan	karakotan	k a r a k o t a n	
892	WOT	a fishing water bird with black feathers, cormorant,Phalacrocorax carbo	kara kotan	karakotan	k a r a k o t a n	
1778	H	a hole in the ice (for fishing)	lēk	lēk	l eː k	
1779	EAH	a hole in the ice (for fishing)	vekü	vekü	v ɛ k y	
1780	WOT	a hole in the ice (for fishing)	väkü	väkü	v ɛ k y	
1781	H	a hole in the ice (for fishing)	vēk	vēk	v eː k	
1782	EAH	a hole in the ice (for fishing)	vekü	vekü	v ɛ k y	
1783	WOT	a hole in the ice (for fishing)	väkü	väkü	v ɛ k y	
996	H	a kind of Hungarian sheepdog	komondor	komondor	k o m o n d o r	
997	EAH	a kind of Hungarian sheepdog	kumandur	kumandur	k u m a n d u r	
998	WOT	a kind of Hungarian sheepdog	kumandur	kumandur	k u m a n d u r	
1068	H	a kind of Hungarian sheepdog, komondor	köpec	köpec	k ø p ɛ t͡s	
1069	OH	a kind of Hungarian sheepdog, komondor	köpečke	köpečke	k ø p ɛ t͡ʃ k ɛ	
1070	LAH	a kind of Hungarian sheepdog, komondor	köpekče	köpekče	k ø p ɛ k t͡ʃ ɛ	
1071	EAH	a kind of Hungarian sheepdog, komondor	köpek	köpek	k ø p ɛ k	
1072	WOT	a kind of Hungarian sheepdog, komondor	köpäk	köpäk	k ø p ɛ k	
273	H	a kind of beer, alcoholic beverage	bozå	bozå	b o z ɒ	
274	EAH	a kind of beer, alcoholic beverage	boza	boza	b o z a	
275	WOT	a kind of beer, alcoholic beverage	boza	boza	b o z a	
1102	H	a kind of dog, a Hungarian breed of sheepdog	kuvås	kuvås	k u v ɒ s	
1103	EAH	a kind of dog, a Hungarian breed of sheepdog	kuwaz	kuwaz	k u w a z	
1104	WOT	a kind of dog, a Hungarian breed of sheepdog	kowaz	kowaz	k o w a z	
1467	H	a kind of falcon, Pielfalcus, Gyrfalco	songor	songor	s o n ɡ o r	
1468	EAH	a kind of falcon, Pielfalcus, Gyrfalco	sonkor	sonkor	s o n k o r	
1469	WOT	a kind of falcon, Pielfalcus, Gyrfalco	soŋkur	soŋkur	s o ŋ k u r	
925	H	a kind of ship	kerep	kerep	k ɛ r ɛ p	
926	WOT	a kind of ship	käräp	käräp	k ɛ r ɛ p	
1640	H	a kind of small falcon, Falco columbarius aescalon	torontāl	torontāl	t o r o n t aː l	
1641	OH	a kind of small falcon, Falco columbarius aescalon	turuntalʹ	turuntalʹ	t u r u n t a ʎ	
1642	EAH	a kind of small falcon, Falco columbarius aescalon	turuntay	turuntay	t u r u n t a j	
1643	WOT	a kind of small falcon, Falco columbarius aescalon	turuntay	turuntay	t u r u n t a j	
749	H	a kind of tree similar to the maple or cornel, Acer tataricum, Cornussanguinea	dʹǖrǖ	dʹǖrǖ	ɟ yː r yː	
750	OH	a kind of tree similar to the maple or cornel, Acer tataricum, Cornussanguinea	dʹereü̯	dʹereü̯	ɟ ɛ r ɛ ɥ	
751	EAH	a kind of tree similar to the maple or cornel, Acer tataricum, Cornussanguinea	ǰereγ	ǰereγ	d͡ʒ ɛ r ɛ ɣ	
752	WOT	a kind of tree similar to the maple or cornel, Acer tataricum, Cornussanguinea	ǰereγ	ǰereγ	d͡ʒ ɛ r ɛ ɣ	
361	H	a kind of willow	čiglå	čiglå	t͡ʃ i ɡ l ɒ	
362	EAH	a kind of willow	čigla	čigla	t͡ʃ i ɡ l a	
363	WOT	a kind of willow	čïgla	čïgla	t͡ʃ ɯ ɡ l a	
342	H	a kind of willow, Salix elægnos	cigle	cigle	t͡s i ɡ l ɛ	
343	EAH	a kind of willow, Salix elægnos	čigle	čigle	t͡ʃ i ɡ l ɛ	
344	WOT	a kind of willow, Salix elægnos	čiglä	čiglä	t͡ʃ i ɡ l ɛ	
357	H	a kind of willow, used for baskets and in viticulture, Salix purpurea	čigolʹå	čigolʹå	t͡ʃ i ɡ o ʎ ɒ	
358	OH	a kind of willow, used for baskets and in viticulture, Salix purpurea	čigolʹa	čigolʹa	t͡ʃ i ɡ o ʎ a	
359	EAH	a kind of willow, used for baskets and in viticulture, Salix purpurea	čigla	čigla	t͡ʃ i ɡ l a	
360	WOT	a kind of willow, used for baskets and in viticulture, Salix purpurea	čïgla	čïgla	t͡ʃ ɯ ɡ l a	
364	H	a kind of wolfs milk, Easter flower, Euphorbia	cötkēń	cötkēń	t͡s ø t k eː ɲ	
365	EAH	a kind of wolfs milk, Easter flower, Euphorbia	sütken	sütken	s y t k ɛ n	
366	WOT	a kind of wolfs milk, Easter flower, Euphorbia	sütkän	sütkän	s y t k ɛ n	
367	H	a kind of wolfs milk, Easter flower, Euphorbia	cötkēń	cötkēń	t͡s ø t k eː ɲ	
368	EAH	a kind of wolfs milk, Easter flower, Euphorbia	sütken	sütken	s y t k ɛ n	
369	WOT	a kind of wolfs milk, Easter flower, Euphorbia	süttägän	süttägän	s y t t ɛ ɡ ɛ n	
370	H	a kind of wolfs milk, Easter flower, Euphorbia	cötkēń	cötkēń	t͡s ø t k eː ɲ	
371	EAH	a kind of wolfs milk, Easter flower, Euphorbia	süttegen	süttegen	s y t t ɛ ɡ ɛ n	
372	WOT	a kind of wolfs milk, Easter flower, Euphorbia	sütkän	sütkän	s y t k ɛ n	
373	H	a kind of wolfs milk, Easter flower, Euphorbia	cötkēń	cötkēń	t͡s ø t k eː ɲ	
374	EAH	a kind of wolfs milk, Easter flower, Euphorbia	süttegen	süttegen	s y t t ɛ ɡ ɛ n	
375	WOT	a kind of wolfs milk, Easter flower, Euphorbia	süttägän	süttägän	s y t t ɛ ɡ ɛ n	
1298	H	a nit	šerke	šerke	ʃ ɛ r k ɛ	
1299	EAH	a nit	širke	širke	ʃ i r k ɛ	
1300	WOT	a nit	širkä	širkä	ʃ i r k ɛ	
1570	H	a piece of land, field, parcel, patch, a higher place where animals rest and accumulate dung	telek	telek	t ɛ l ɛ k	
1571	EAH	a piece of land, field, parcel, patch, a higher place where animals rest and accumulate dung	telük	telük	t ɛ l y k	
1572	WOT	a piece of land, field, parcel, patch, a higher place where animals rest and accumulate dung	tilök	tilök	t i l ø k	
486	H	a short fur coat	dåku	dåku	d ɒ k u	
487	EAH	a short fur coat	daku	daku	d a k u	
488	WOT	a short fur coat	daku	daku	d a k u	
67	H	a type of lasso	ārkāń	ārkāń	aː r k aː ɲ	
68	EAH	a type of lasso	arkan	arkan	a r k a n	
69	WOT	a type of lasso	arkan	arkan	a r k a n	
1263	H	a type of wild onion, Ornithogalum	šārmå	šārmå	ʃ aː r m ɒ	
1264	EAH	a type of wild onion, Ornithogalum	šarmaγ	šarmaγ	ʃ a r m a ɣ	
1265	WOT	a type of wild onion, Ornithogalum	šarmaγ	šarmaγ	ʃ a r m a ɣ	
835	H	a water plant, Stratiotes aloides	kålokāń	kålokāń	k ɒ l o k aː ɲ	
836	EAH	a water plant, Stratiotes aloides	karlukan	karlukan	k a r l u k a n	
837	WOT	a water plant, Stratiotes aloides	karlukan	karlukan	k a r l u k a n	
838	H	a water plant, Stratiotes aloides	kolokāń	kolokāń	k o l o k aː ɲ	
839	EAH	a water plant, Stratiotes aloides	karlukan	karlukan	k a r l u k a n	
840	WOT	a water plant, Stratiotes aloides	karlukan	karlukan	k a r l u k a n	
841	H	a water plant, Stratiotes aloides	kårlokāń	kårlokāń	k ɒ r l o k aː ɲ	
842	EAH	a water plant, Stratiotes aloides	karlukan	karlukan	k a r l u k a n	
843	WOT	a water plant, Stratiotes aloides	karlukan	karlukan	k a r l u k a n	
431	H	a wine of low quality, a fruit wine	čiger	čiger	t͡ʃ i ɡ ɛ r	
432	EAH	a wine of low quality, a fruit wine	čigir	čigir	t͡ʃ i ɡ i r	
433	WOT	a wine of low quality, a fruit wine	čïgïr	čïgïr	t͡ʃ ɯ ɡ ɯ r	
434	H	a wine of low quality, a fruit wine	čiger	čiger	t͡ʃ i ɡ ɛ r	
435	EAH	a wine of low quality, a fruit wine	čigir	čigir	t͡ʃ i ɡ i r	
436	WOT	a wine of low quality, a fruit wine	čȧgïr	čȧgïr	t͡ʃ ɐ ɡ ɯ r	
1522	H	advice; council	tånāč	tånāč	t ɒ n aː t͡ʃ	
1523	EAH	advice; council	tanilč	tanilč	t a n i l t͡ʃ	
1524	WOT	advice; council	tanïlč	tanïlč	t a n ɯ l t͡ʃ	
1005	H	age, period	kor	kor	k o r	
1006	EAH	age, period	kur	kur	k u r	
1007	WOT	age, period	kur	kur	k u r	
1304	H	also short sheaves used to strengthen athatched roof	šerte	šerte	ʃ ɛ r t ɛ	
1305	OH	also short sheaves used to strengthen athatched roof	širte	širte	ʃ i r t ɛ	
1306	EAH	also short sheaves used to strengthen athatched roof	širt	širt	ʃ i r t	
1307	WOT	also short sheaves used to strengthen athatched roof	širt	širt	ʃ i r t	
832	H	an ethnic group of Muslim faith in Mediaeval Hungary	kāliz	kāliz	k aː l i z	
833	EAH	an ethnic group of Muslim faith in Mediaeval Hungary	kaliz	kaliz	k a l i z	
834	WOT	an ethnic group of Muslim faith in Mediaeval Hungary	kvaliz	kvaliz	k v a l i z	
899	H	an ethnic name, Kazar	kåzār	kåzār	k ɒ z aː r	
900	EAH	an ethnic name, Kazar	kazar	kazar	k a z a r	
901	WOT	an ethnic name, Kazar	kazar	kazar	k a z a r	
207	H	ankle	bokå	bokå	b o k ɒ	
208	EAH	ankle	baka	baka	b a k a	
209	WOT	ankle	baka	baka	b a k a	
210	H	ankle boot	båkånč	båkånč	b ɒ k ɒ n t͡ʃ	
211	EAH	ankle boot	bokå	bokå	b o k ɒ	
212	WOT	ankle boot	baka	baka	b a k a	
213	H	ankle boot	båkånč	båkånč	b ɒ k ɒ n t͡ʃ	
214	EAH	ankle boot	båkå	båkå	b ɒ k ɒ	
215	WOT	ankle boot	baka	baka	b a k a	
216	H	anthill	bolʹ	bolʹ	b o ʎ	
217	OH	anthill	bolʹ	bolʹ	b o ʎ	
218	EAH	anthill	boγol	boγol	b o ɣ o l	
219	WOT	anthill	boγul	boγul	b o ɣ u l	
35	H	apple	ålmå	ålmå	ɒ l m ɒ	
36	EAH	apple	alma	alma	a l m a	
37	WOT	apple	alma	alma	a l m a	
868	H	arm	kår	kår	k ɒ r	
869	EAH	arm	kar	kar	k a r	
870	WOT	arm	kar	kar	k a r	
