ID,Name,Concepticon_ID,Concepticon_Gloss
1_cannoncatapult,"cannon, catapult",3202,CANNON
6_streamcurrent,"stream, current",2935,CURRENT (STREAM)
7_falseimitation,"false, imitation",3069,FALSE
11_piedofananimalscoat,pied (of an animals coat),,
14_barrelwoodencontainerandstandardquantity,barrel (wooden container andstandard quantity),2548,BARREL
15_tonursetakecareof,"to nurse, take care of",2472,"SUCKLE (BREASTFEED, NURSE)"
17_smalltiny,"small, tiny",1246,SMALL
19_tomow,to mow,190,MOW
21_toharm,to harm,44,INJURE
23_ditchcanal,"ditch, canal",2002,DITCH
25_barrow,barrow,2565,CASTRATED BOAR
27_charm,charm,,
29_hatchetaxe,"hatchet, axe",677,AXE
31_governorofcroatiagovernorofthesouthernmarches,"governor of Croatia, governor of the southern marches",,
33_hairybushyofdogsabighairydogasnoun,"hairy, bushy (of dogs); a big hairy dog (as noun)",,
35_cattlelivestock,"cattle, livestock",1153,CATTLE
37_tofuck,to fuck,,
39_frog,frog,503,FROG
42_hobbleshacklelegiron,"hobble, shackle, leg-iron",,
43_stampbondmark,"stamp, bond, mark",1720,SIGN
46_togive,to give,1447,GIVE
47_grainorsmallglobuleofpreciousmetal,grain or small globule of preciousmetal,605,GRAIN
49_pechenegnameofatribe,"Pecheneg, name of a tribe",,
53_pocketknife,pocket knife,3742,POCKETKNIFE
55_shackles,shackles,,
57_tobeforgivenbocsanat,"to be forgiven, bocsánat",,
59_bucklerwithhandlehandleofdifferentarms,"buckler with handle, handle of different arms",,
61_stackofhay,stack of hay,,
63_burdockarctiumsp,"burdock, Arctium sp.",,
66_ankleboot,ankle boot,,
67_anthill,anthill,1873,ANTHILL
70_tocovertooverturn,"to cover, to overturn",761,COVER
71_calf,calf,1989,CALF
73_peapisumsativumbean,"pea, Pisum sativum; bean",832,BEAN
75_witchsorceress,"witch, sorceress",824,WITCH
77_revenge,revenge,495,REVENGE
81_stickcane,"stick, cane",1295,STICK
83_richabundantroomy,"rich; abundant, roomy",712,RICH
85_fasting,fast(ing),1631,FAST
87_cradle,cradle,2946,CRADLE
89_prisonjail,"prison, jail",1281,PRISON
91_farewellindulgencededicationfestivalannualparishfeast,"farewell, indulgence, dedication festival, annual parish-feast",3554,GOODBYE
93_volgabulgar,Volga Bulgar,,
95_wheattriticum,"wheat, Triticum",1077,WHEAT
97_beech,beech,1950,BEECH
99_bluntendofsomethingarodwithanendcutobtuseendofafieldstriptheshortersideorendofapieceoffurniturefootofthehill,"(blunt) end of something, a rod with an end cut, obtuse end of a field-strip, the shorter side or end of a piece of furniture, foot of the hill",,
101_akindofwillowsalixelgnos,"a kind of willow, Salix elægnos",,
105_trapsnareforcatchingbirdsbirdcage,trap; snare (for catching birds); bird cage,1075,TRAP (PITFALL)
107_akindofwillow,a kind of willow,,
111_akindofwolfsmilkeasterflowereuphorbia,"a kind of wolfs milk, Easter flower, Euphorbia",,
113_onlyjust,"only, just",1580,ONLY
117_nettleurtica,"nettle, Urtica",33,NETTLE
119_thicketbrushwooddryfoliagegrovemeadow,"thicket, brushwood; dry foliage, grove, meadow",2819,GRASSLAND
122_fightingtrooparmygroupbattlequarrelhubbubflock,"fighting, troop, army group, battle, quarrel, hubbub, flock",1848,QUARREL
123_toaddtojointobuckleupsomething,"to add, to join; to buckle up something",1743,JOIN
126_measlesmallpoxpocksskineruptiondecorativeembroidery,"measle, smallpox, pocks; skin eruption; decorative embroidery",1054,SMALLPOX
127_tobindsomething,to bind (something),1917,TIE
130_awineoflowqualityafruitwine,"a wine of low quality, a fruit wine",,
131_secretionmucusdischargedfromtheeyes,"secretion, mucus discharged from the eyes",,
133_acarpentersaxewithalonghelve,a carpenters axe with a long helve,,
136_stallion,stallion,936,STALLION
